Entry,Entry name,Status,Protein names,Gene names,Organism,Length,Features,Annotation
Q9UKU6,TRHDE_HUMAN,reviewed,Thyrotropin-releasing hormone-degrading ectoenzyme (TRH-DE) (TRH-degrading ectoenzyme) (EC 3.4.19.6) (Pyroglutamyl-peptidase II) (PAP-II) (TRH-specific aminopeptidase) (Thyroliberinase),TRHDE UNQ2507/PRO5995,Homo sapiens (Human),1024,Active site (1); Chain (1); Disulfide bond (1); Glycosylation (12); Metal binding (3); Region (1); Sequence conflict (1); Site (1); Topological domain (2); Transmembrane (1),5 out of 5
Q8NDY8,TMM52_HUMAN,reviewed,Transmembrane protein 52,TMEM52 UNQ3048/PRO9864,Homo sapiens (Human),209,Alternative sequence (1); Chain (1); Natural variant (2); Sequence conflict (1); Signal peptide (1); Transmembrane (1),2 out of 5
Q8IUH4,ZDH13_HUMAN,reviewed,Palmitoyltransferase ZDHHC13 (EC 2.3.1.225) (Huntingtin-interacting protein 14-related protein) (HIP14-related protein) (Huntingtin-interacting protein HIP3RP) (Putative MAPK-activating protein PM03) (Putative NF-kappa-B-activating protein 209) (Zinc finger DHHC domain-containing protein 13) (DHHC-13),ZDHHC13 HIP14L HIP3RP,Homo sapiens (Human),622,Active site (1); Alternative sequence (2); Chain (1); Compositional bias (1); Domain (1); Erroneous termination (1); Modified residue (1); Natural variant (2); Repeat (7); Sequence conflict (2); Topological domain (7); Transmembrane (6),5 out of 5
Q6ZRP7,QSOX2_HUMAN,reviewed,Sulfhydryl oxidase 2 (EC 1.8.3.2) (Neuroblastoma-derived sulfhydryl oxidase) (Quiescin Q6-like protein 1),QSOX2 QSCN6L1 SOXN,Homo sapiens (Human),698,Active site (2); Binding site (7); Chain (1); Compositional bias (2); Disulfide bond (5); Domain (2); Erroneous initiation (1); Frameshift (1); Glycosylation (4); Modified residue (1); Natural variant (1); Nucleotide binding (1); Sequence conflict (3); Signal peptide (1); Transmembrane (1),5 out of 5
Q9BRK0,REEP2_HUMAN,reviewed,Receptor expression-enhancing protein 2,REEP2 C5orf19 SGC32445,Homo sapiens (Human),252,Alternative sequence (1); Chain (1); Frameshift (1); Modified residue (1); Natural variant (2); Transmembrane (2),5 out of 5
Q6ZWK4,RHEX_HUMAN,reviewed,Regulator of hemoglobinization and erythroid cell expansion protein (Regulator of human erythroid cell expansion protein),RHEX C1orf186,Homo sapiens (Human),172,Chain (1); Modified residue (2); Transmembrane (1),5 out of 5
Q969N4,TAAR8_HUMAN,reviewed,Trace amine-associated receptor 8 (TaR-8) (Trace amine receptor 8) (G-protein coupled receptor 102) (Trace amine receptor 5) (TaR-5),TAAR8 GPR102 TA5 TAR5 TRAR5,Homo sapiens (Human),342,Chain (1); Disulfide bond (1); Glycosylation (2); Natural variant (3); Topological domain (8); Transmembrane (7),4 out of 5
P36897,TGFR1_HUMAN,reviewed,TGF-beta receptor type-1 (TGFR-1) (EC 2.7.11.30) (Activin A receptor type II-like protein kinase of 53kD) (Activin receptor-like kinase 5) (ALK-5) (ALK5) (Serine/threonine-protein kinase receptor R4) (SKR4) (TGF-beta type I receptor) (Transforming growth factor-beta receptor type I) (TGF-beta receptor type I) (TbetaR-I),TGFBR1 ALK5 SKR4,Homo sapiens (Human),503,Active site (1); Alternative sequence (2); Beta strand (24); Binding site (1); Chain (1); Cross-link (1); Disulfide bond (5); Domain (2); Glycosylation (1); Helix (18); Modified residue (6); Motif (1); Mutagenesis (10); Natural variant (21); Nucleotide binding (1); Signal peptide (1); Topological domain (2); Transmembrane (1); Turn (4),5 out of 5
Q5JRA6,TGO1_HUMAN,reviewed,Transport and Golgi organization protein 1 homolog (TANGO1) (C219-reactive peptide) (D320) (Melanoma inhibitory activity protein 3),MIA3 KIAA0268 TANGO UNQ6077/PRO20088,Homo sapiens (Human),1907,Alternative sequence (5); Chain (1); Coiled coil (3); Compositional bias (1); Domain (1); Erroneous initiation (2); Glycosylation (2); Intramembrane (1); Modified residue (15); Natural variant (5); Region (3); Sequence conflict (4); Signal peptide (1); Topological domain (3); Transmembrane (1),5 out of 5
A0A286YF58,TM271_HUMAN,reviewed,Transmembrane protein 271,TMEM271,Homo sapiens (Human),385,Chain (1); Transmembrane (4),1 out of 5
Q5BJH2,TM128_HUMAN,reviewed,Transmembrane protein 128,TMEM128,Homo sapiens (Human),165,Alternative sequence (1); Chain (1); Natural variant (1); Sequence conflict (1); Transmembrane (4),5 out of 5
Q92544,TM9S4_HUMAN,reviewed,Transmembrane 9 superfamily member 4 (Tumor cannibalism associated protein 1),TM9SF4 KIAA0255 TUCAP1,Homo sapiens (Human),642,Chain (1); Erroneous initiation (2); Modified residue (1); Signal peptide (1); Topological domain (10); Transmembrane (9),5 out of 5
Q8TBR7,TLC3A_HUMAN,reviewed,TLC domain-containing protein 3A (Protein CT120) (Protein FAM57A),TLCD3A FAM57A,Homo sapiens (Human),257,Alternative sequence (1); Chain (1); Domain (1); Sequence conflict (2); Transmembrane (7),3 out of 5
O75509,TNR21_HUMAN,reviewed,Tumor necrosis factor receptor superfamily member 21 (Death receptor 6) (CD antigen CD358),TNFRSF21 DR6 UNQ437/PRO868,Homo sapiens (Human),655,Beta strand (18); Chain (1); Disulfide bond (9); Domain (1); Erroneous initiation (1); Glycosylation (6); Helix (7); Lipidation (1); Mutagenesis (7); Repeat (4); Signal peptide (1); Topological domain (2); Transmembrane (1); Turn (1),5 out of 5
Q9ULQ1,TPC1_HUMAN,reviewed,Two pore calcium channel protein 1 (Voltage-dependent calcium channel protein TPC1),TPCN1 KIAA1169 TPC1,Homo sapiens (Human),816,Alternative sequence (4); Chain (1); Coiled coil (1); Erroneous initiation (1); Frameshift (1); Glycosylation (3); Intramembrane (2); Mutagenesis (1); Sequence conflict (1); Topological domain (15); Transmembrane (12),5 out of 5
P28908,TNR8_HUMAN,reviewed,Tumor necrosis factor receptor superfamily member 8 (CD30L receptor) (Ki-1 antigen) (Lymphocyte activation antigen CD30) (CD antigen CD30),TNFRSF8 CD30 D1S166E,Homo sapiens (Human),595,Alternative sequence (3); Chain (1); Compositional bias (1); Disulfide bond (14); Glycosylation (4); Modified residue (2); Natural variant (6); Repeat (6); Signal peptide (1); Topological domain (2); Transmembrane (1),5 out of 5
Q9NXH8,TOR4A_HUMAN,reviewed,Torsin-4A (Torsin family 4 member A),TOR4A C9orf167,Homo sapiens (Human),423,Chain (1); Modified residue (4); Nucleotide binding (1); Sequence conflict (1); Transmembrane (1),3 out of 5
Q5JXX7,TMM31_HUMAN,reviewed,Transmembrane protein 31,TMEM31,Homo sapiens (Human),168,Chain (1); Sequence conflict (1); Transmembrane (2),2 out of 5
Q96NA8,TSNA1_HUMAN,reviewed,t-SNARE domain-containing protein 1,TSNARE1,Homo sapiens (Human),513,Alternative sequence (1); Chain (1); Compositional bias (1); Domain (1); Modified residue (1); Natural variant (4); Transmembrane (1),3 out of 5
Q06418,TYRO3_HUMAN,reviewed,Tyrosine-protein kinase receptor TYRO3 (EC 2.7.10.1) (Tyrosine-protein kinase BYK) (Tyrosine-protein kinase DTK) (Tyrosine-protein kinase RSE) (Tyrosine-protein kinase SKY) (Tyrosine-protein kinase TIF),TYRO3 BYK DTK RSE SKY TIF,Homo sapiens (Human),890,Active site (1); Beta strand (16); Binding site (1); Chain (1); Disulfide bond (2); Domain (5); Erroneous initiation (1); Glycosylation (7); Helix (1); Modified residue (7); Mutagenesis (1); Natural variant (7); Nucleotide binding (1); Sequence conflict (5); Signal peptide (1); Topological domain (2); Transmembrane (1),5 out of 5
Q7Z4N2,TRPM1_HUMAN,reviewed,Transient receptor potential cation channel subfamily M member 1 (Long transient receptor potential channel 1) (LTrpC1) (Melastatin-1),TRPM1 LTRPC1 MLSN MLSN1,Homo sapiens (Human),1603,Alternative sequence (7); Chain (1); Coiled coil (1); Natural variant (26); Sequence conflict (3); Topological domain (10); Transmembrane (9),5 out of 5
P55851,UCP2_HUMAN,reviewed,Mitochondrial uncoupling protein 2 (UCP 2) (Solute carrier family 25 member 8) (UCPH),UCP2 SLC25A8,Homo sapiens (Human),309,Chain (1); Natural variant (5); Region (1); Repeat (3); Sequence conflict (1); Topological domain (7); Transmembrane (6),5 out of 5
Q8NBZ7,UXS1_HUMAN,reviewed,UDP-glucuronic acid decarboxylase 1 (EC 4.1.1.35) (UDP-glucuronate decarboxylase 1) (UGD) (UXS-1),UXS1 UNQ2538/PRO6079,Homo sapiens (Human),420,Active site (1); Alternative sequence (2); Beta strand (14); Binding site (3); Chain (1); Glycosylation (1); Helix (12); Modified residue (2); Nucleotide binding (5); Topological domain (2); Transmembrane (1); Turn (1),5 out of 5
Q13488,VPP3_HUMAN,reviewed,V-type proton ATPase 116 kDa subunit a3 (V-ATPase 116 kDa subunit a3) (Osteoclastic proton pump 116 kDa subunit) (OC-116 kDa) (OC116) (T-cell immune regulator 1) (T-cell immune response cDNA7 protein) (TIRC7) (Vacuolar proton translocating ATPase 116 kDa subunit a isoform 3),TCIRG1 ATP6N1C ATP6V0A3,Homo sapiens (Human),830,Alternative sequence (1); Chain (1); Natural variant (8); Sequence conflict (2); Topological domain (9); Transmembrane (8),5 out of 5
P08842,STS_HUMAN,reviewed,Steryl-sulfatase (EC 3.1.6.2) (Arylsulfatase C) (ASC) (Estrone sulfatase) (Steroid sulfatase) (Steryl-sulfate sulfohydrolase),STS ARSC1,Homo sapiens (Human),583,Active site (2); Beta strand (23); Chain (1); Disulfide bond (6); Glycosylation (2); Helix (20); Metal binding (5); Modified residue (1); Natural variant (8); Sequence conflict (1); Signal peptide (1); Site (2); Topological domain (3); Transmembrane (2); Turn (8),5 out of 5
Q7L8C5,SYT13_HUMAN,reviewed,Synaptotagmin-13 (Synaptotagmin XIII) (SytXIII),SYT13 KIAA1427,Homo sapiens (Human),426,Beta strand (9); Chain (1); Domain (2); Erroneous initiation (1); Topological domain (2); Transmembrane (1); Turn (1),5 out of 5
P21579,SYT1_HUMAN,reviewed,Synaptotagmin-1 (Synaptotagmin I) (SytI) (p65),SYT1 SVP65 SYT,Homo sapiens (Human),422,Beta strand (19); Chain (1); Domain (2); Glycosylation (1); Helix (7); Lipidation (5); Metal binding (22); Modified residue (5); Natural variant (5); Region (1); Topological domain (2); Transmembrane (1); Turn (3),5 out of 5
P59541,T2R30_HUMAN,reviewed,Taste receptor type 2 member 30 (T2R30) (Taste receptor type 2 member 47) (T2R47),TAS2R30 TAS2R47,Homo sapiens (Human),319,Chain (1); Glycosylation (2); Natural variant (1); Sequence conflict (1); Topological domain (8); Transmembrane (7),4 out of 5
Q16635,TAZ_HUMAN,reviewed,Tafazzin (Protein G4.5),TAZ EFE2 G4.5,Homo sapiens (Human),292,Alternative sequence (4); Chain (1); Natural variant (4); Region (1); Transmembrane (1),5 out of 5
P02786,TFR1_HUMAN,reviewed,"Transferrin receptor protein 1 (TR) (TfR) (TfR1) (Trfr) (T9) (p90) (CD antigen CD71) [Cleaved into: Transferrin receptor protein 1, serum form (sTfR)]",TFRC,Homo sapiens (Human),760,Beta strand (27); Chain (2); Disulfide bond (2); Domain (1); Erroneous initiation (1); Glycosylation (4); Helix (28); Lipidation (2); Modified residue (5); Motif (3); Mutagenesis (25); Natural variant (5); Region (2); Sequence conflict (3); Site (1); Topological domain (2); Transmembrane (1); Turn (10),5 out of 5
Q96AQ2,TM125_HUMAN,reviewed,Transmembrane protein 125,TMEM125,Homo sapiens (Human),219,Chain (1); Natural variant (2); Transmembrane (4),2 out of 5
A8MWL7,TM14D_HUMAN,reviewed,Transmembrane protein 14DP,TMEM14DP TMEM14D,Homo sapiens (Human),114,Chain (1); Natural variant (1); Transmembrane (4),2 out of 5
Q9NS93,TM7S3_HUMAN,reviewed,Transmembrane 7 superfamily member 3 (Seven span transmembrane protein),TM7SF3,Homo sapiens (Human),570,Chain (1); Compositional bias (1); Glycosylation (5); Natural variant (2); Sequence conflict (1); Signal peptide (1); Transmembrane (7),4 out of 5
Q92545,TM131_HUMAN,reviewed,Transmembrane protein 131 (Protein RW1),TMEM131 KIAA0257 RW1,Homo sapiens (Human),1883,Chain (1); Compositional bias (4); Glycosylation (1); Modified residue (6); Transmembrane (2),3 out of 5
Q9Y6G1,TM14A_HUMAN,reviewed,Transmembrane protein 14A,TMEM14A C6orf73 PTD011,Homo sapiens (Human),99,Beta strand (2); Chain (1); Helix (4); Natural variant (1); Transmembrane (3),5 out of 5
Q8N4H5,TOM5_HUMAN,reviewed,Mitochondrial import receptor subunit TOM5 homolog,TOMM5 C9orf105 TOM5,Homo sapiens (Human),51,Alternative sequence (2); Chain (1); Cross-link (1); Modified residue (1); Transmembrane (1),4 out of 5
O94826,TOM70_HUMAN,reviewed,Mitochondrial import receptor subunit TOM70 (Mitochondrial precursor proteins import receptor) (Translocase of outer membrane 70 kDa subunit) (Translocase of outer mitochondrial membrane protein 70),TOMM70 KIAA0719 TOM70 TOMM70A,Homo sapiens (Human),608,Chain (1); Cross-link (1); Erroneous initiation (1); Initiator methionine (1); Modified residue (7); Repeat (10); Topological domain (2); Transmembrane (1),5 out of 5
C9JI98,TM238_HUMAN,reviewed,Transmembrane protein 238,TMEM238,Homo sapiens (Human),176,Chain (1); Compositional bias (1); Modified residue (1); Sequence conflict (1); Topological domain (3); Transmembrane (2),2 out of 5
P0DTU3,TRAR2_HUMAN,reviewed,T cell receptor alpha chain MC.7.G5 (MC.7.G5 TRA) (TR alpha chain TRAV38-2DV8*01J31*01C*01),TRA,Homo sapiens (Human),275,Chain (1); Disulfide bond (3); Domain (2); Glycosylation (5); Region (7); Sequence caution (1); Signal peptide (1); Topological domain (1); Transmembrane (1),4 out of 5
P19438,TNR1A_HUMAN,reviewed,"Tumor necrosis factor receptor superfamily member 1A (Tumor necrosis factor receptor 1) (TNF-R1) (Tumor necrosis factor receptor type I) (TNF-RI) (TNFR-I) (p55) (p60) (CD antigen CD120a) [Cleaved into: Tumor necrosis factor receptor superfamily member 1A, membrane form; Tumor necrosis factor-binding protein 1 (TBPI)]",TNFRSF1A TNFAR TNFR1,Homo sapiens (Human),455,Alternative sequence (5); Beta strand (15); Chain (2); Disulfide bond (12); Domain (1); Glycosylation (3); Helix (9); Natural variant (15); Region (1); Repeat (4); Sequence conflict (6); Signal peptide (1); Topological domain (2); Transmembrane (1),5 out of 5
Q93038,TNR25_HUMAN,reviewed,Tumor necrosis factor receptor superfamily member 25 (Apo-3) (Apoptosis-inducing receptor AIR) (Apoptosis-mediating receptor DR3) (Apoptosis-mediating receptor TRAMP) (Death receptor 3) (Lymphocyte-associated receptor of death) (LARD) (Protein WSL) (Protein WSL-1),TNFRSF25 APO3 DDR3 DR3 TNFRSF12 WSL WSL1 UNQ455/PRO779,Homo sapiens (Human),417,Alternative sequence (14); Chain (1); Disulfide bond (12); Domain (1); Glycosylation (2); Helix (6); Mutagenesis (3); Natural variant (5); Repeat (4); Sequence conflict (7); Signal peptide (1); Topological domain (2); Transmembrane (1); Turn (2),5 out of 5
Q5JTV8,TOIP1_HUMAN,reviewed,Torsin-1A-interacting protein 1 (Lamin-associated protein 1B) (LAP1B),TOR1AIP1 LAP1,Homo sapiens (Human),583,Alternative sequence (2); Beta strand (7); Chain (1); Coiled coil (1); Cross-link (1); Erroneous initiation (4); Glycosylation (1); Helix (13); Modified residue (14); Natural variant (4); Region (1); Sequence conflict (2); Topological domain (2); Transmembrane (1); Turn (2),5 out of 5
Q6UXZ0,TMIG1_HUMAN,reviewed,Transmembrane and immunoglobulin domain-containing protein 1,TMIGD1 TMIGD UNQ9372/PRO34164,Homo sapiens (Human),262,Alternative sequence (2); Chain (1); Disulfide bond (2); Domain (2); Glycosylation (5); Signal peptide (1); Topological domain (2); Transmembrane (1),5 out of 5
Q9BY64,UDB28_HUMAN,reviewed,UDP-glucuronosyltransferase 2B28 (UDPGT 2B28) (UGT2B28) (EC 2.4.1.17),UGT2B28,Homo sapiens (Human),529,Alternative sequence (2); Chain (1); Glycosylation (1); Modified residue (1); Natural variant (3); Sequence caution (1); Sequence conflict (1); Signal peptide (1); Transmembrane (1),5 out of 5
Q86Y38,XYLT1_HUMAN,reviewed,Xylosyltransferase 1 (EC 2.4.2.26) (Peptide O-xylosyltransferase 1) (Xylosyltransferase I) (XT-I) (XylT-I),XYLT1 XT1,Homo sapiens (Human),959,Beta strand (31); Binding site (3); Chain (1); Disulfide bond (6); Glycosylation (3); Helix (26); Mutagenesis (32); Natural variant (9); Region (3); Topological domain (2); Transmembrane (1); Turn (8),5 out of 5
Q6PP77,XKR2_HUMAN,reviewed,"XK-related protein 2 (Membrane protein XPLAC) (X Kell blood group-related, X-linked)",XKRX XKR2 XPLAC XRG2,Homo sapiens (Human),449,Alternative sequence (1); Chain (1); Erroneous initiation (4); Sequence conflict (1); Transmembrane (10),3 out of 5
Q9UIJ5,ZDHC2_HUMAN,reviewed,Palmitoyltransferase ZDHHC2 (EC 2.3.1.225) (Acyltransferase ZDHHC2) (EC 2.3.1.-) (Reduced expression associated with metastasis protein) (Ream) (Reduced expression in cancer protein) (Rec) (Zinc finger DHHC domain-containing protein 2) (DHHC-2) (Zinc finger protein 372),ZDHHC2 REAM REC ZNF372,Homo sapiens (Human),367,Active site (1); Chain (1); Domain (1); Modified residue (1); Motif (2); Mutagenesis (2); Natural variant (2); Region (1); Topological domain (5); Transmembrane (4),5 out of 5
P04844,RPN2_HUMAN,reviewed,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 (Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 63 kDa subunit) (RIBIIR) (Ribophorin II) (RPN-II) (Ribophorin-2),RPN2,Homo sapiens (Human),631,Alternative sequence (2); Beta strand (15); Chain (1); Cross-link (1); Glycosylation (1); Helix (3); Natural variant (1); Sequence conflict (7); Signal peptide (1); Topological domain (4); Transmembrane (3); Turn (2),5 out of 5
P0C7Q5,S35G4_HUMAN,reviewed,Putative solute carrier family 35 member G4 (Acyl-malonyl-condensing enzyme 1-like protein 1),SLC35G4 AMAC1L1 SLC35G4P,Homo sapiens (Human),338,Chain (1); Domain (2); Natural variant (1); Transmembrane (7),2 out of 5
Q9BZJ4,S2539_HUMAN,reviewed,Solute carrier family 25 member 39,SLC25A39 CGI-69 PRO2163,Homo sapiens (Human),359,Alternative sequence (1); Chain (1); Erroneous initiation (1); Natural variant (1); Repeat (3); Sequence conflict (1); Transmembrane (6),3 out of 5
Q8IWX5,SGPP2_HUMAN,reviewed,Sphingosine-1-phosphate phosphatase 2 (SPPase2) (Spp2) (hSPP2) (EC 3.1.3.-) (Sphingosine-1-phosphatase 2),SGPP2,Homo sapiens (Human),399,Active site (2); Alternative sequence (1); Chain (1); Region (3); Site (1); Transmembrane (9),5 out of 5
P30531,SC6A1_HUMAN,reviewed,Sodium- and chloride-dependent GABA transporter 1 (GAT-1) (Solute carrier family 6 member 1),SLC6A1 GABATR GABT1 GAT1,Homo sapiens (Human),599,Chain (1); Disulfide bond (1); Glycosylation (3); Metal binding (9); Modified residue (2); Motif (1); Natural variant (5); Sequence conflict (3); Topological domain (3); Transmembrane (12),5 out of 5
Q9P1W8,SIRPG_HUMAN,reviewed,Signal-regulatory protein gamma (SIRP-gamma) (CD172 antigen-like family member B) (Signal-regulatory protein beta-2) (SIRP-b2) (SIRP-beta-2) (CD antigen CD172g),SIRPG SIRPB2,Homo sapiens (Human),387,Alternative sequence (3); Beta strand (25); Chain (1); Disulfide bond (3); Domain (3); Glycosylation (4); Helix (2); Natural variant (2); Signal peptide (1); Topological domain (2); Transmembrane (1); Turn (1),5 out of 5
Q08ET2,SIG14_HUMAN,reviewed,Sialic acid-binding Ig-like lectin 14 (Siglec-14),SIGLEC14 UNQ294/PRO333,Homo sapiens (Human),396,Binding site (1); Chain (1); Disulfide bond (2); Domain (3); Glycosylation (1); Mutagenesis (1); Signal peptide (1); Topological domain (2); Transmembrane (1),5 out of 5
A0A1B0GUW6,SPEM3_HUMAN,reviewed,Uncharacterized protein SPEM3,SPEM3,Homo sapiens (Human),1196,Chain (1); Transmembrane (1),1 out of 5
Q8N434,SVOPL_HUMAN,reviewed,Putative transporter SVOPL (SV2-related protein-like) (SVOP-like protein),SVOPL,Homo sapiens (Human),492,Alternative sequence (2); Chain (1); Natural variant (1); Transmembrane (10),3 out of 5
Q8TAV4,STML3_HUMAN,reviewed,Stomatin-like protein 3 (SLP-3),STOML3,Homo sapiens (Human),291,Alternative sequence (1); Chain (1); Modified residue (2); Topological domain (1); Transmembrane (1),4 out of 5
P59539,T2R45_HUMAN,reviewed,Taste receptor type 2 member 45 (T2R45) (G-protein coupled receptor 59),TAS2R45 GPR59,Homo sapiens (Human),299,Chain (1); Glycosylation (1); Topological domain (8); Transmembrane (7),3 out of 5
